=== 월별 카드 사용 요약 ===
년도,2024
월,1
총 사용액,274200
거래 건수,10
평균 거래액,27420.00

=== 결제 예상액 (할부 반영) ===
승인 금액 합계,+312200
취소 금액 합계,-13000
실제 청구될 금액,299200
예상 월 총액,350000
남은 일수,16
일평균 소비액,27420.00
예상 추가 소비액,75800
신뢰도,85.00%

=== 상위 가맹점 ===
순위,가맹점명,사용액,거래건수,비율(%)
1,"롯데마트 잠실점",80000,1,29.18
2,"이마트 과천점",45000,1,16.42
3,"교보문고 강남점",35000,1,12.77
4,"맥도날드 홍대점",25000,1,9.12
5,"올리브영 명동점",22000,1,8.03
6,"배달의민족",18000,1,6.57
7,"GS25 강남역점",15000,1,5.47
8,"투썸플레이스 신촌점",12000,1,4.38
9,"스타벅스 강남점",12700,1,4.63
10,"CU 신촌점",9500,1,3.47

=== 카드별 요약 ===
카드사,카드번호,사용액,거래건수,비율(%)
"신한카드",1234,274200,10,100.00

=== 상세 거래 내역 ===
날짜,시간,카드사,카드번호,거래유형,사용자,금액,할부,가맹점,누적금액,카테고리,메모
2024-01-15,14:30,신한카드,1234,승인,본인,+12700,일시불,"스타벅스 강남점",12700,카페,
2024-01-15,12:15,신한카드,1234,승인,본인,+45000,일시불,"이마트 과천점",57700,마트,
2024-01-15,10:30,신한카드,1234,취소,본인,-5000,일시불,"스타벅스 강남점",52700,카페,
2024-01-14,19:45,신한카드,1234,승인,본인,+25000,일시불,"맥도날드 홍대점",77700,식당,
2024-01-14,16:20,신한카드,1234,승인,본인,+15000,일시불,"GS25 강남역점",92700,편의점,
2024-01-13,20:30,신한카드,1234,승인,본인,+80000,일시불,"롯데마트 잠실점",172700,마트,
2024-01-13,11:00,신한카드,1234,승인,본인,+12000,일시불,"투썸플레이스 신촌점",184700,카페,
2024-01-12,18:15,신한카드,1234,승인,본인,+35000,일시불,"교보문고 강남점",219700,서점,
2024-01-12,14:00,신한카드,1234,승인,본인,+22000,일시불,"올리브영 명동점",241700,화장품,
2024-01-11,21:00,신한카드,1234,승인,본인,+18000,일시불,"배달의민족",259700,배달,
2024-01-11,13:30,신한카드,1234,승인,본인,+9500,일시불,"CU 신촌점",269200,편의점,
2024-01-10,15:20,신한카드,1234,승인,본인,+30000,3개월,"다이소 강남점",299200,생활용품,
2024-01-09,12:00,신한카드,1234,취소,본인,-8000,일시불,"맥도날드 홍대점",291200,식당,
