월별 카드 사용 요약
년도,2024
월,1
총 사용액,274200
거래 건수,10
평균 거래액,27420.00

상위 가맹점
가맹점명,사용액,거래건수,비율(%)
"롯데마트 잠실점",80000,1,29.18
"이마트 과천점",45000,1,16.42
"교보문고 강남점",35000,1,12.77
"맥도날드 홍대점",25000,1,9.12
"올리브영 명동점",22000,1,8.03
"배달의민족",18000,1,6.57
"GS25 강남역점",15000,1,5.47
"투썸플레이스 신촌점",12000,1,4.38
"스타벅스 강남점",12700,1,4.63
"CU 신촌점",9500,1,3.47

카드별 요약
카드사,카드번호,사용액,거래건수,비율(%)
"신한카드",1234,274200,10,100.00

일별 요약
날짜,사용액,거래건수
2024-01-15,57700,2
2024-01-14,40000,2
2024-01-13,92000,2
2024-01-12,57000,2
2024-01-11,27500,2

카테고리별 요약
카테고리,사용액,거래건수,비율(%)
마트,125000,2,45.61
카페,24700,2,9.01
식당,25000,1,9.12
편의점,24500,2,8.94
서점,35000,1,12.77
화장품,22000,1,8.03
배달,18000,1,6.57
